Name,Timezone,Country,Latitude,Longitude,URL
Killington Resort,GMT - 5,USA,43.619801,-72.80271,https://www.youtube.com/embed/omVjZZRsrPo
Four Seasons Hotel Buenos Aires,GMT - 4,Argentina,-34.5905715,-58.3825741,https://www.youtube.com/embed/if91GyWP3zQ
GRU Airport Sao Paulo,GMT - 3,Brazil,-23.437795,-46.4813205,https://www.youtube.com/embed/bmrq8lBr35I
Brunel Holiday Park Dawlish,GMT + 0,UK,50.58118,-3.46644,https://www.youtube.com/embed/a6TNIniQw5Y
Assisi-Basilica di San Francesco,GMT + 2,Italy,43.0667,12.6211,https://www.youtube.com/embed/5ka3YhVZgME
Prague Tram,GMT + 1,Prague,50.0874654,14.4212535,https://www.mall.tv/embed/vlaky-a-tramvaje/mazacka-jizda-prahou?autoplay=true&c=1
Kazan Russia,GMT + 3,Russia,55.7823547,49.1242266,https://www.youtube.com/embed/LVHOEGyKkrw
Beach Cam Maritius,GMT + 4,Maritius,-20.5123612,57.473251,https://www.youtube.com/embed/Nqm28breGxs
Kazakhstan,GMT + 6,Kazakhstan,51.1282205,71.4306682,https://www.youtube.com/embed/Rc2uhcrLqMI
Jomsom Nepal,GMT + 5.45,Nepal,28.7838097,83.7304953,https://www.youtube.com/embed/WgjLxP2sFLk
Koh Samui,GMT + 7,Thailand,9.444151,99.960648,https://www.youtube.com/embed/-vZOOe5dNOY
Taiwan Road,GMT + 8,Taiwan,23.9739374,120.9820179,https://www.youtube.com/embed/KucrVvJQj0k
Mount Fuji,GMT + 9,Japan,35.362799,138.730781,https://www.youtube.com/embed/WAyDRburhSY
Santa Claus Village,GMT + 2,Finland,66.54401398,25.84724617,https://www.youtube.com/embed/Cp4RRAEgpeU
Madina,GMT + 3,Saudi Arabia,24.470901,39.612236,https://www.youtube.com/embed/zBkm_sWf1F0
Kenya River Wildlife,GMT + 3,Kenya,0.2918,36.8809,https://www.youtube.com/embed/bGpNSsnSlfo
Table Mountain,GMT + 2,South Africa,-33.962864,18.409834,https://www.youtube.com/embed/xGwmQ1wzd0Y
Eger,GMT + 2,Hungary,47.9027,20.3733,https://www.youtube.com/embed/IELAhyaUKVk
Stary Sacz,GMT + 2,Poland,49.5640268,20.6366235,https://www.youtube.com/embed/fGAiiIEXz0U
Moara Vlasiei,GMT + 3,Romania,44.639707,26.22136,https://www.youtube.com/embed/fK6hrMr7-k4
Shymbulak,GMT + 5,Kazakhstan,42.69575,70.70751,https://www.youtube.com/embed/lw1qn9YlAew
Akureyri Icelandic Brewery White Ale,GMT + 0,Iceland,64.14721,-21.9424,https://www.youtube.com/embed/34KrXyDCbZo
